Initialization,Ops,E,gnorm,E0,Exact
0,1,-2.08286641126124,2.220446049250313e-16,-1.9706022460321666,-2.8009588996544403
1,1,-2.08286641126124,0.0,-2.08286641126124,-2.8009588996544403
2,1,-2.0828664112612403,4.440892098500626e-16,-1.9664019327776066,-2.8009588996544403
3,1,-2.0828664112612403,8.613725288597607e-10,-2.0827229191668346,-2.8009588996544403
4,1,-2.0828664112612403,0.0,-1.955391546835212,-2.8009588996544403
5,1,-2.08286641126124,1.7763568394002505e-15,-1.668448097036205,-2.8009588996544403
6,1,-2.0828664112612403,2.220446049250313e-16,-1.9230508455332622,-2.8009588996544403
7,1,-2.08286641126124,0.0,-2.08258516710659,-2.8009588996544403
8,1,-2.08286641126124,3.5432496936493862e-09,-1.8610935742418786,-2.8009588996544403
9,1,-2.0828664112612394,7.327471962526033e-15,-1.7465524273035287,-2.8009588996544403
10,1,-2.08286641126124,2.220446049250313e-16,-2.0149660475806273,-2.8009588996544403
11,1,-2.0828664112612403,4.440892098500626e-16,-1.7187322523172934,-2.8009588996544403
12,1,-2.08286641126124,2.220446049250313e-16,-1.8518138224779437,-2.8009588996544403
13,1,-2.0828664112612403,4.440892098500626e-16,-2.082184652290089,-2.8009588996544403
14,1,-2.08286641126124,0.0,-1.6003379332133858,-2.8009588996544403
15,1,-2.0828664112612403,4.440892098500626e-16,-1.7751145075767627,-2.8009588996544403
16,1,-2.0828664112612403,4.440892098500626e-16,-1.9761298203995088,-2.8009588996544403
17,1,-2.08286641126124,0.0,-1.7764058175801551,-2.8009588996544403
18,1,-2.0828664112612403,4.440892098500626e-16,-1.6232268816821223,-2.8009588996544403
19,1,-2.0828664112612394,4.8627768478581856e-14,-1.6367243974408552,-2.8009588996544403
20,1,-2.0828664112612403,4.440892098500626e-16,-1.7855012207172554,-2.8009588996544403
21,1,-2.0828664112612394,1.4477308241112041e-13,-2.0824217105802263,-2.8009588996544403
22,1,-2.0828664112612403,4.440892098500626e-16,-2.0642161156682493,-2.8009588996544403
23,1,-2.0828664112612403,4.440892098500626e-16,-1.9717696296214429,-2.8009588996544403
24,1,-2.0828664112612394,4.440892098500626e-16,-2.037926114715034,-2.8009588996544403
25,1,-2.0828664112612403,0.0,-1.91949213263852,-2.8009588996544403
26,1,-2.0828664112612403,0.0,-1.6552349457033424,-2.8009588996544403
27,1,-2.08286641126124,5.773159728050814e-15,-1.6309598788646897,-2.8009588996544403
28,1,-2.0828664112612394,5.284661597215745e-14,-1.7566432254503304,-2.8009588996544403
29,1,-2.0828664112612403,2.220446049250313e-16,-1.5961859720315834,-2.8009588996544403
30,1,-2.0828664112612394,4.440892098500626e-16,-2.0823976187518918,-2.8009588996544403
31,1,-2.08286641126124,0.0,-1.9657726081492823,-2.8009588996544403
32,1,-2.0828664112612403,2.220446049250313e-16,-1.8592993060677891,-2.8009588996544403
33,1,-2.08286641126124,0.0,-2.056020577001334,-2.8009588996544403
34,1,-2.08286641126124,4.440892098500626e-16,-1.7315177297404218,-2.8009588996544403
35,1,-2.0828664112612403,2.220446049250313e-16,-2.0825112659917986,-2.8009588996544403
36,1,-2.08286641126124,1.7763568394002505e-15,-1.7393203849110188,-2.8009588996544403
37,1,-2.08286641126124,0.0,-1.6986532939100107,-2.8009588996544403
38,1,-2.08286641126124,0.0,-1.603053803203401,-2.8009588996544403
39,1,-2.08286641126124,2.220446049250313e-16,-2.053800644435037,-2.8009588996544403
40,1,-2.0828664112612403,4.440892098500626e-16,-1.8283590899729805,-2.8009588996544403
41,1,-2.08286641126124,4.440892098500626e-16,-2.041609248168525,-2.8009588996544403
42,1,-2.0828664112612394,3.2084352952210793e-09,-1.7051967123180236,-2.8009588996544403
43,1,-2.0828664112612403,0.0,-2.0604770742355654,-2.8009588996544403
44,1,-2.08286641126124,0.0,-1.6399908986380916,-2.8009588996544403
45,1,-2.0828664112612394,4.440892098500626e-16,-1.902726967811678,-2.8009588996544403
46,1,-2.0828664112612403,4.440892098500626e-16,-1.8448745249997396,-2.8009588996544403
47,1,-2.08286641126124,1.5543122344752192e-15,-2.0802065374825722,-2.8009588996544403
48,1,-2.0828664112612394,1.8340884366807586e-13,-1.8548025203272882,-2.8009588996544403
49,1,-2.0828664112612403,4.440892098500626e-16,-2.08233625532922,-2.8009588996544403
50,1,-2.0828664112612394,1.4366285938649526e-13,-2.082418911139255,-2.8009588996544403
51,1,-2.0828664112612403,4.440892098500626e-16,-1.9940127790251967,-2.8009588996544403
52,1,-2.0828664112612403,4.440892098500626e-16,-1.7272405019325732,-2.8009588996544403
53,1,-2.08286641126124,2.220446049250313e-16,-2.0414404191072073,-2.8009588996544403
54,1,-2.0828664112612403,2.220446049250313e-16,-1.9688431970086784,-2.8009588996544403
55,1,-2.0828664112612403,4.440892098500626e-16,-1.954889735138918,-2.8009588996544403
56,1,-2.0828664112612403,2.220446049250313e-16,-1.5947210581906817,-2.8009588996544403
57,1,-2.08286641126124,4.440892098500626e-16,-1.9286821288289058,-2.8009588996544403
58,1,-2.0828664112612403,4.440892098500626e-16,-1.9552667997829694,-2.8009588996544403
59,1,-2.08286641126124,0.0,-1.659494190321471,-2.8009588996544403
60,1,-2.08286641126124,0.0,-1.707816892229694,-2.8009588996544403
61,1,-2.0828664112612403,2.220446049250313e-16,-2.081275091993424,-2.8009588996544403
62,1,-2.0828664112612403,4.440892098500626e-16,-2.082803510981455,-2.8009588996544403
63,1,-2.0828664112612403,4.440892098500626e-16,-1.942719058247037,-2.8009588996544403
64,1,-2.0828664112612403,0.0,-2.01470944019559,-2.8009588996544403
65,1,-2.0828664112612403,2.220446049250313e-16,-1.9630715729298351,-2.8009588996544403
66,1,-2.08286641126124,4.440892098500626e-16,-2.0134158117808973,-2.8009588996544403
67,1,-2.0828664112612403,0.0,-1.778899684599253,-2.8009588996544403
68,1,-2.08286641126124,0.0,-1.9434653067912502,-2.8009588996544403
69,1,-2.0828664112612403,0.0,-1.767946597646444,-2.8009588996544403
70,1,-2.0828664112612403,2.220446049250313e-16,-2.023131355445593,-2.8009588996544403
71,1,-2.0828664112612403,0.0,-1.5802605627511603,-2.8009588996544403
72,1,-2.08286641126124,0.0,-1.64984147536302,-2.8009588996544403
73,1,-2.0828664112612403,2.220446049250313e-16,-1.8278894714582037,-2.8009588996544403
74,1,-2.0828664112612403,1.1102230246251565e-15,-1.6673010038533809,-2.8009588996544403
75,1,-2.08286641126124,0.0,-1.8934708767415,-2.8009588996544403
76,1,-2.08286641126124,0.0,-1.8572575033230994,-2.8009588996544403
77,1,-2.08286641126124,0.0,-1.5971165669377334,-2.8009588996544403
78,1,-2.08286641126124,0.0,-2.082839537058327,-2.8009588996544403
79,1,-2.0828664112612403,2.220446049250313e-16,-2.0755902915500783,-2.8009588996544403
80,1,-2.08286641126124,4.440892098500626e-16,-1.685438103383398,-2.8009588996544403
81,1,-2.08286641126124,2.279801458726638e-09,-1.6117628549516003,-2.8009588996544403
82,1,-2.08286641126124,4.440892098500626e-16,-1.5864604809458136,-2.8009588996544403
83,1,-2.08286641126124,0.0,-2.0111487768862824,-2.8009588996544403
84,1,-2.0828664112612403,0.0,-1.9687597746551797,-2.8009588996544403
