Initialization,Ops,E,gnorm,E0,Exact
0,1,-2.0828664112612363,0.0,-1.9706022460321626,-2.8009588996544403
1,1,-2.0828664112612363,0.0,-1.9571620298304886,-2.8009588996544403
2,1,-2.0828664112612367,3.3306690738754696e-15,-1.9059175088141644,-2.8009588996544403
3,1,-2.0828664112612363,7.180922523275513e-13,-1.9198816243115409,-2.8009588996544403
4,1,-2.082866411261234,0.0,-1.4732177777107547,-2.8009588996544403
5,1,-2.0828664112612367,0.0,-1.7998804319876744,-2.8009588996544403
6,1,-2.0828664112612367,2.220446049250313e-16,-1.9405385523171483,-2.8009588996544403
7,1,-2.0828664112612363,4.440892098500626e-16,-1.5769319546505036,-2.8009588996544403
8,1,-2.0828664112612367,2.4424906541753444e-15,-1.3915874842175748,-2.8009588996544403
9,1,-2.0828664112612363,1.097669377614352e-08,-2.0718284867996806,-2.8009588996544403
10,1,-2.08286641126123,1.5460186464366643e-08,-1.403637714466242,-2.8009588996544403
11,1,-2.0828664112612363,0.0,-1.5486928653351093,-2.8009588996544403
12,1,-2.0828664112612367,1.305622276959184e-13,-1.9501718691569494,-2.8009588996544403
13,1,-2.082866411261234,0.0,-1.6306338259230184,-2.8009588996544403
14,1,-2.0828664112612363,4.440892098500626e-16,-1.4021457371361734,-2.8009588996544403
15,1,-2.0828664112612363,4.440892098500626e-16,-1.9875115550307771,-2.8009588996544403
16,1,-2.0828664112612363,4.440892098500626e-16,-1.403195749365137,-2.8009588996544403
17,1,-2.0828664112612403,1.297850715786808e-12,-1.5730299475390408,-2.8009588996544403
18,1,-2.082866411261241,1.6857093498856557e-10,-1.5407263079919444,-2.8009588996544403
19,1,-2.0828664112612363,4.440892098500626e-16,-1.4120111252559209,-2.8009588996544403
20,1,-2.0828664112612367,0.0,-1.892872174483271,-2.8009588996544403
21,1,-2.0828664112612367,0.0,-2.0432546949708232,-2.8009588996544403
22,1,-2.0828664112612367,2.220446049250313e-16,-1.9742500027683367,-2.8009588996544403
23,1,-2.0828664112612363,2.020605904817785e-14,-2.081947324974599,-2.8009588996544403
24,1,-2.082866411261236,2.220446049250313e-16,-1.7862699064514818,-2.8009588996544403
25,1,-2.082866411261236,1.216721945418442e-08,-1.4996220226586168,-2.8009588996544403
26,1,-2.082866411261223,1.9984014443252818e-15,-1.5543212892500904,-2.8009588996544403
27,1,-2.082866411261236,2.9398705692074145e-13,-1.3925754682707632,-2.8009588996544403
28,1,-2.082866411261239,3.022915251449376e-11,-1.6412968875520477,-2.8009588996544403
29,1,-2.0828664112612363,2.220446049250313e-16,-1.9456501160972106,-2.8009588996544403
30,1,-2.0828664112612363,4.440892098500626e-16,-1.9551077687390999,-2.8009588996544403
31,1,-2.0828664112612367,2.964496426116625e-09,-1.5713256006870284,-2.8009588996544403
32,1,-2.0828664112612363,0.0,-2.061997336484379,-2.8009588996544403
33,1,-2.082866411261234,0.0,-1.3954853845589228,-2.8009588996544403
