Initialization,Ops,E,gnorm,E0,Exact
0,1,-2.0525278323001577,2.220446049250313e-16,-1.9706022460321644,-2.8009588996544403
1,1,-2.0525278323001577,2.220446049250313e-16,-2.0525278323001577,-2.8009588996544403
2,1,-2.0525278323001572,0.0,-1.9678146775525096,-2.8009588996544403
3,1,-2.0525278323001572,0.0,-2.0518027582080625,-2.8009588996544403
4,1,-2.0525278323001572,0.0,-1.9605870635538054,-2.8009588996544403
5,1,-2.0525278323001572,0.0,-1.8016613341430894,-2.8009588996544403
6,1,-2.0525278323001572,0.0,-1.939972490260711,-2.8009588996544403
7,1,-2.0525278323001572,2.220446049250313e-16,-2.0525177659592044,-2.8009588996544403
8,1,-2.0525278323001572,8.43769498715119e-15,-1.9026993329101574,-2.8009588996544403
9,1,-2.0525278323001577,2.220446049250313e-16,-1.8401247687972482,-2.8009588996544403
10,1,-2.0525278323001572,0.0,-2.0012000561393872,-2.8009588996544403
11,1,-2.0525278323001572,4.440892098500626e-16,-1.8260394553434285,-2.8009588996544403
12,1,-2.0525278323001572,3.3306690738754696e-15,-1.8973400015336057,-2.8009588996544403
13,1,-2.0525278323001572,2.220446049250313e-16,-2.0523655258153806,-2.8009588996544403
14,1,-2.0525278323001572,0.0,-1.770985712837871,-2.8009588996544403
15,1,-2.0525278323001577,3.29891669537119e-11,-1.8550271916028722,-2.8009588996544403
16,1,-2.0525278323001572,4.440892098500626e-16,-1.9742971867148897,-2.8009588996544403
17,1,-2.0525278323001577,0.0,-1.855711598904617,-2.8009588996544403
18,1,-2.0525278323001572,0.0,-1.7809745135302895,-2.8009588996544403
19,1,-2.0525278323001577,0.0,-1.787020776372034,-2.8009588996544403
20,1,-2.0525278323001577,2.220446049250313e-16,-1.8605586367594036,-2.8009588996544403
21,1,-2.0525278323001572,2.220446049250313e-15,-2.0511823379904337,-2.8009588996544403
22,1,-2.0525278323001572,4.440892098500626e-16,-2.0383387605400096,-2.8009588996544403
23,1,-2.0525278323001577,2.220446049250313e-16,-1.9713800539767719,-2.8009588996544403
24,1,-2.0525278323001572,2.220446049250313e-16,-2.0180204061105957,-2.8009588996544403
25,1,-2.0525278323001572,4.440892098500626e-16,-1.937756250856727,-2.8009588996544403
26,1,-2.0525278323001577,0.0,-1.7954917940089818,-2.8009588996544403
27,1,-2.0525278323001577,4.548722953856554e-09,-1.7844247976335221,-2.8009588996544403
28,1,-2.0525278323001572,4.440892098500626e-16,-1.845338374339513,-2.8009588996544403
29,1,-2.0525278323001577,0.0,-1.769210989264511,-2.8009588996544403
30,1,-2.0525278323001572,0.0,-2.0524608355159013,-2.8009588996544403
31,1,-2.0525278323001572,0.0,-1.9673984919020897,-2.8009588996544403
32,1,-2.052527832300157,7.105427357601002e-15,-1.9016588178695077,-2.8009588996544403
33,1,-2.0525278323001572,6.661338147750939e-16,-2.031872150165335,-2.8009588996544403
34,1,-2.0525278323001572,9.992007221626409e-15,-1.83246019796261,-2.8009588996544403
35,1,-2.052527832300157,8.881784197001252e-16,-2.0513534299680334,-2.8009588996544403
36,1,-2.0525278323001572,0.0,-1.836422506166062,-2.8009588996544403
37,1,-2.0525278323001572,2.220446049250313e-16,-1.816136786526931,-2.8009588996544403
38,1,-2.0525278323001577,0.0,-1.7721529172158665,-2.8009588996544403
39,1,-2.052527832300157,8.881784197001252e-16,-2.0301414503803796,-2.8009588996544403
40,1,-2.0525278323001577,0.0,-1.8840327678500322,-2.8009588996544403
41,1,-2.0525278323001572,0.0,-2.020794107914711,-2.8009588996544403
42,1,-2.0525278323001572,0.0,-1.8193395640877466,-2.8009588996544403
43,1,-2.0525278323001572,0.0,-2.035373663057753,-2.8009588996544403
44,1,-2.0525278323001572,0.0,-1.7885007705895402,-2.8009588996544403
45,1,-2.0525278323001572,1.9984014443252818e-15,-1.9274449245810503,-2.8009588996544403
46,1,-2.0525278323001572,1.3322676295501878e-15,-1.8933677475251613,-2.8009588996544403
47,1,-2.0525278323001577,0.0,-2.0476072381557815,-2.8009588996544403
48,1,-2.0525278323001572,4.440892098500626e-15,-1.8990601041379378,-2.8009588996544403
49,1,-2.0525278323001577,1.2164158569305528e-10,-2.0524358525185233,-2.8009588996544403
50,1,-2.0525278323001572,1.9984014443252818e-15,-2.051177097740462,-2.8009588996544403
51,1,-2.0525278323001577,0.0,-1.9864694834976486,-2.8009588996544403
