Initialization,Ops,E,gnorm,E0,Exact
0,1,-2.099695788270315,4.508171613792911e-12,-1.9706022460321604,-2.8009588996544403
1,1,-2.099695788270315,4.508171613792911e-12,-2.099695788270315,-2.8009588996544403
2,1,-2.099695788270315,2.220446049250313e-16,-1.9737294188950865,-2.8009588996544403
3,1,-2.0996957882703153,6.705498378778429e-10,-1.760049387267118,-2.8009588996544403
4,1,-2.099695788270315,4.440892098500626e-16,-1.9815505371671815,-2.8009588996544403
5,1,-2.099695788270315,1.90694571244876e-10,-2.0878394541539125,-2.8009588996544403
6,1,-2.0996957882703153,2.7309392525154408e-09,-2.0018691530120183,-2.8009588996544403
7,1,-2.099695788270315,4.440892098500626e-16,-1.7797155672313796,-2.8009588996544403
8,1,-2.099695788270315,7.771561172376096e-15,-2.032659402968577,-2.8009588996544403
9,1,-2.0996957882703144,5.10702591327572e-15,-2.071272516504908,-2.8009588996544403
10,1,-2.099695788270315,2.3444890473456326e-10,-1.931128969265258,-2.8009588996544403
11,1,-2.0996957882703153,1.110117997527027e-09,-2.0779810270698422,-2.8009588996544403
12,1,-2.0996957882703144,9.992007221626409e-15,-2.0365607240688717,-2.8009588996544403
13,1,-2.0996957882703153,1.0615260004342986e-08,-1.786041781765833,-2.8009588996544403
14,1,-2.099695788270315,2.220446049250313e-16,-2.096642453558672,-2.8009588996544403
15,1,-2.0996957882703153,9.325873406851315e-15,-2.063395730544119,-2.8009588996544403
16,1,-2.0996957882703144,2.220446049250313e-16,-1.966355392330649,-2.8009588996544403
17,1,-2.099695788270315,9.325873406851315e-15,-2.063014777224017,-2.8009588996544403
18,1,-2.0996957882703153,8.055489608693733e-11,-2.0942784478072256,-2.8009588996544403
19,1,-2.0996957882703153,1.4004153392477292e-10,-2.0925985897244943,-2.8009588996544403
20,1,-2.0996957882703144,1.0436096431476471e-14,-2.060268290073573,-2.8009588996544403
21,1,-2.099695788270315,4.773959005888173e-14,-1.753763308351642,-2.8009588996544403
22,1,-2.099695788270315,2.220446049250313e-16,-1.857970018460964,-2.8009588996544403
23,1,-2.099695788270315,2.220446049250313e-16,-1.9697180781297634,-2.8009588996544403
24,1,-2.0996957882703144,6.8833827526759706e-15,-1.9035188220744133,-2.8009588996544403
25,1,-2.0996957882703153,8.680951513184709e-10,-2.0038982264371934,-2.8009588996544403
26,1,-2.0996957882703153,2.220446049250313e-16,-2.089958807065745,-2.8009588996544403
27,1,-2.099695788270315,2.220446049250313e-16,-2.0933415303216085,-2.8009588996544403
28,1,-2.099695788270315,1.8908017374030806e-09,-2.0686076399944016,-2.8009588996544403
29,1,-2.0996957882703153,9.023448654943422e-12,-2.097004127375362,-2.8009588996544403
30,1,-2.099695788270315,7.409628466348295e-13,-1.7830258257499523,-2.8009588996544403
31,1,-2.099695788270315,2.220446049250313e-16,-1.9741908425827552,-2.8009588996544403
32,1,-2.099695788270315,8.659739592076221e-15,-2.0334263186276043,-2.8009588996544403
33,1,-2.0996957882703153,2.8754776337791554e-13,-1.8748063267214614,-2.8009588996544403
34,1,-2.0996957882703153,3.552713678800501e-15,-2.0750123333530057,-2.8009588996544403
35,1,-2.0996957882703153,2.55351295663786e-14,-1.7553131352730267,-2.8009588996544403
36,1,-2.0996957882703153,1.5200565250950149e-09,-2.07310548093898,-2.8009588996544403
37,1,-2.099695788270315,1.3322676295501878e-15,-2.082260874425258,-2.8009588996544403
